图像,提示词编号,提示词文本,总分,面积得分,连通域得分,边界得分,时序得分,前背景对比得分,下方泄漏得分,侧边泄漏得分,语义门控启用,语义门控总修正,目标框得分,垂直覆盖得分,花盆重叠惩罚,侧边干扰惩罚,中心先验得分,面积比例,连通域数量,边界密度,时序IoU,前背景对比,下方区域占比,侧边区域占比,SAM3原始分数
0000.jpg,P1,green plant,1.1872858910221784,0.3628331819424909,1.0,0.7260013516427195,1.0,0.9240080714225769,1.0,1.0,1,0.38471737002062106,0.6092530322529652,0.4195609891636566,0.0,0.0,0.9595783068262501,0.15331910686728395,1,7.548158078144211,1.0,0.23100201785564423,0.0,0.0,0.349609;0.960938;0.343750
0000.jpg,P2,entire plant excluding pot,1.2760993769243654,0.553115293893577,1.0,0.7298507493904163,1.0,1.0,1.0,1.0,1,0.4195061682675666,0.6628120097664405,0.60377882745207,0.04791544971819563,0.0,0.9321641082339853,0.22848054108796295,1,7.40286286847597,1.0,0.2661062479019165,0.003109583670385186,0.0,0.957031
0000.jpg,P3,leaves and stems,1.1874565700372888,0.3631081882911392,1.0,0.72721853343173,1.0,0.9234393239021301,1.0,1.0,1,0.38470336091228896,0.6093304386822522,0.41928313420394553,0.0,0.0,0.9596674321679047,0.153427734375,1,7.502049357323708,1.0,0.23085983097553253,0.0,0.0,0.349609;0.310547;0.695312;0.373047
0000.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0000.jpg,P5,plant body without background,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0025.jpg,P1,green plant,0.8579180671754746,0.2112415025785278,1.0,0.6960961022426578,0.38505119024336765,0.24322374165058136,1.0,1.0,1,0.3507955598324477,0.571516008497412,0.30783289817232373,0.0,0.0,0.9535503518733522,0.09344039351851852,1,8.731664974943412,0.38505119024336765,0.06080593541264534,0.0,0.0,0.964844
0025.jpg,P2,entire plant excluding pot,0.8978319969130026,0.38969925720815746,1.0,0.70833118832902,0.427873903207169,0.1867600381374359,0.21348222696728003,1.0,1,0.35529911953664617,0.6254672109409992,0.5075718015665797,0.1719027057955698,0.0,0.9659348316398306,0.1639312065972222,1,8.235379621192111,0.427873903207169,0.04669000953435898,0.09368461386279879,0.0,0.925781
0025.jpg,P3,leaves and stems,0.3904761904761905,0.0,1.0,0.9523809523809523,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,
0025.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0025.jpg,P5,plant body without background,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0050.jpg,P1,green plant,1.0999908524408086,0.13748516613924056,1.0,0.7203323784289927,0.2569088743299583,1.0,1.0,1.0,1,0.4770455686611703,0.7945944214376215,0.6253369272237197,0.0,0.0,0.8637687425773333,0.064306640625,1,7.764960452866157,0.2569088743299583,0.3649519383907318,0.0,0.0,0.976562
0050.jpg,P2,entire plant excluding pot,1.2418459552444774,0.24617524466713547,1.0,0.736140677726071,0.4034677420864483,1.0,0.2822283565751273,1.0,1,0.5646892223485463,0.9912723810239183,0.9959568733153639,0.16770153515798467,0.0,0.8878211234080491,0.10723922164351851,1,7.168720062827859,0.4034677420864483,0.40502071380615234,0.07086460142666824,0.0,0.968750
0050.jpg,P3,leaves and stems,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0050.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0050.jpg,P5,plant body without background,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0075.jpg,P1,green plant,1.0099690886852357,0.2175993075089857,1.0,0.7121442967613337,0.305196150534108,0.37588801980018616,1.0,1.0,1,0.4878035337643131,0.8003901219433025,0.6384,0.0,0.0,0.9275499108415723,0.09595172646604938,1,8.084195985217237,0.305196150534108,0.09397200495004654,0.0,0.0,0.972656
0075.jpg,P2,entire plant excluding pot,1.1199111116937992,0.378900450754024,1.0,0.7248213437312981,0.317914711805723,0.3980794847011566,0.15117674925657665,1.0,1,0.555967913495359,0.9998554404950805,0.9994666666666666,0.21439353152648394,0.0,0.9043256878002618,0.15966567804783952,1,7.593006432512413,0.317914711805723,0.09951987117528915,0.13229547597994762,0.0,0.914062
0075.jpg,P3,leaves and stems,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
